Date,Subject ID,Subject Number,Birthday,Age,Age Group,Gender,Experimenter,Order,Format,Comb,Shoe,Chalk,Fork,Format,Cup,Shirt,Scissors,Button,Format,Book,Bowl,Box,Shorts,Format,Ball,Toothbrush,Sweater,Pencil,Household Adults,Household Children,Caregiver Relationship,Caregiver Education,Maternal Education,Caregiver #1 Relationship,Caregiver #1 Gender,Caregiver #1 Hours with Child,Caregiver #1 Languages,Caregiver #2 Relationship,Caregiver #2 Gender,Caregiver #2 Hours with Child,Caregiver #2 Languages,Caregiver #3 Relationship,Caregiver #3 Gender,Caregiver #3 Hours with Child,Caregiver #3 Languages,Caregiver #4 Relationship,Caregiver #4 Gender,Caregiver #4 Hours with Child,Caregiver #4 Languages,Picture Freq,Play Freq,Talk Freq,Draw Freq,Other Draw Freq,Other Draw Materials,Picture Books?,Picture Book Number,Drawing Materials?,Drawing Number,Posters?,Poster Number,TVs?,TV Number,Toys?,Toy Number,Attend school/daycare?,Years in school/daycare
8/27/2024,S12JO,11,7/20/2019,5.109589041,5,M,Gaby,2,bw,Comb,Shoe,Chalk,Spoon,cartoon,Cup,Shirt,Scissors,Shovel,photo,Paper,Bowl,Box,Remote,obj,Balloon,Mirror,Sweater,Pencil,2,4,Mother,1,1,Mother,F,6,"60% Luo, 40% Swahili",Father,M,4,"50% Swahili, 50% Luo",,,,,,,,,4,2,5,4,1,none,1,1,1,14,0,0,0,0,1,1,1,2
8/27/2024,S13VB,12,5/20/2019,5.276712329,5,M,Gaby,2,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Shovel,photo,Paper,Bowl,Box,Clock,obj,Ball,Toothbrush,Skirt,Pencil,4,2,Mother,1,1,Mother,F,3,"70% Swahili, 30% Luo",Father,M,2,"70% Swahili, 30% Luo",,,,,,,,,4,5,2,4,1,none,0,0,1,5,1,3,1,1,1,3,1,3
8/27/2024,S14JC,13,1/11/2019,5.630136986,5,F,Gaby,2,bw,Comb,Shoe,Crayon,Necklace,cartoon,Cup,Shirt,Scissors,Button,photo,Book,Bowl,Box,Clock,obj,Ball,Toothpaste,Sweater,Pencil,2,3,Mother,3,3,Mother,F,5,100% Swahili,Father,M,3,100% Swahili,,,,,,,,,4,2,5,4,1,none,1,3,1,4,1,2,1,1,1,3,1,2
8/27/2024,S15SD,14,6/25/2019,5.178082192,5,M,Gaby,2,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Stone,photo,Book,Bowl,Box,Clock,obj,Ball,Toothpaste,Sweater,Pencil,2,6,Mother,1,1,Mother,F,7,"70% Luo, 30% Swahili",,,,,,,,,,,,,4,5,4,4,1,none,1,1,1,2,1,2,1,1,0,0,1,3
8/27/2024,S16MO,15,9/9/2018,5.969863014,5,M,Gaby,2,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Stone,photo,Book,Bowl,Box,Clock,obj,Ball,Toothbrush,Sweater,Pencil,2,4,Mother,3,3,Mother,F,4,"70% Swahili, 20% Luo, 10% English",Father,M,2,"70% Swahili, 20% Luo, 10% English",,,,,,,,,5,5,4,4,2,stick,1,3,1,3,1,3,1,1,1,2,1,2
8/27/2024,S17LA,16,3/17/2019,5.452054795,5,F,Gaby,2,bw,Comb,Shoe,String,Fork,cartoon,Cup,Shirt,Scissors,Button,photo,Book,Bowl,Box,Shorts,obj,Ball,Toothbrush,Sweater,Pencil,2,2,Mother,1,1,Mother,F,6,100% Swahili,Grandmother,F,5,100% Swahili,,,,,,,,,2,5,4,4,1,none,1,1,1,1,1,1,0,0,0,0,1,1
8/27/2024,S18AT,17,5/29/2019,5.252054795,5,F,Gaby,3,bw,Comb,Shoe,Crayon,Necklace,cartoon,Cup,Shirt,Scissors,Stick,photo,Book,Bowl,Key,Clock,obj,Ball,Mirror,Sweater,Pencil,5,2,Mother,6,6,Grandmother,F,6,"60% Swahili, 30% Luo, 10% English",Mother,F,12,"70% Swahili, 20% English, 10% Luo",Grandfather,M,4,"80% Swahili, 20% Luo",,,,,3,4,5,4,2,"chalk, stick, charcoal",1,3,1,5,1,6,1,1,1,4,1,3
8/27/2024,S19BO,18,6/12/2019,5.21369863,5,M,Gaby,3,bw,Comb,Shoe,Crayon,Straw,cartoon,Cup,Shirt,Scissors,Button,photo,Paper,Bowl,Box,Clock,obj,Ball,Toothbrush,Sweater,Pencil,2,6,Mother,1,1,Mother,F,2,"80% Swahili, 20% Luo",Father,M,3,100% Swahili,,,,,,,,,3,4,4,4,2,"stick, charcoal, soft clay",1,4,1,5,1,3,1,1,1,30,1,1
8/27/2024,S20DR,19,11/18/2018,5.778082192,5,M,Gaby,3,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Stick,photo,Book,Bowl,Box,Remote,obj,Ball,Toothbrush,Sweater,Pencil,2,4,Father,3,1,Father,M,4,"70% Swahili, 30% Luo",Uncle,M,4,"70% Swahili, 30% Luo",,,,,,,,,3,4,5,4,1,none,0,0,1,14,1,2,1,1,1,2,1,4
8/27/2024,S21BW,20,7/17/2019,5.117808219,5,M,Gaby,3,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Shovel,photo,Book,Bowl,Key,Dress,obj,Ball,Toothpaste,Sweater,Pencil,3,2,Father,6,6,Father,M,6,"80% Swahili, 15% English, 5% Luo",Mother,F,7,"90% Swahili, 10% English",Nanny,F,7,100% Swahili,,,,,4,4,4,5,2,"chalk, stick",1,3,1,48,1,5,1,1,1,6,1,2
8/27/2024,S22LL,21,4/19/2019,5.361643836,5,M,Gaby,3,bw,Comb,Shoe,Crayon,Fork,cartoon,Cup,Shirt,Scissors,Button,photo,Book,Bowl,Box,Clock,obj,Ball,Toothpaste,Sweater,Pencil,2,3,Mother,1,1,Sister,F,12,"80% Swahili, 20% Luo",Mother,F,1,"90% Swahili, 10% Luo",,,,,,,,,5,4,4,5,2,stick,1,10,1,12,1,4,1,1,1,20,1,1
8/27/2024,S23HB,22,5/16/2019,5.287671233,5,F,Gaby,3,bw,Comb,Shoe,Handkerchief,Necklace,cartoon,Cup,Shirt,Scissors,Shovel,photo,Paper,Bowl,Box,Shorts,obj,Balloon,Toothbrush,Sweater,Pencil,2,3,Aunt,1,1,Aunt,F,4,100% Swahili,,,,,,,,,,,,,4,4,4,4,2,charcoal,1,1,1,5,1,6,1,1,1,4,1,2
8/27/2024,S24JJ,23,8/7/2019,5.060273973,5,M,Gaby,3,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Stick,photo,Book,Plate,Box,Remote,obj,Ball,Mirror,Sweater,Pencil,2,3,Mother,1,1,Mother,F,4,100% Swahili,,,,,,,,,,,,,4,4,4,4,2,"charcoal, stick",1,1,1,4,1,6,1,1,1,3,1,2
8/27/2024,S25VK,24,1/1/2019,5.657534247,5,F,Gaby,3,bw,Comb,Shoe,String,Fork,cartoon,Cup,Shirt,Scissors,Stick,photo,Book,Bowl,Box,Remote,obj,Ball,Toothpaste,Sweater,Pencil,2,1,Mother,5,5,Mother,F,4,"40% English, 40% Swahili, 16% Luo, 4% Luhya",Father,M,1,"80% Swahili, 20% English",Grandfather,M,6,"90% Swahili, 10% Luhya",Grandmother,F,4,"70% Swahili, 30% English",5,4,5,4,2,"stick, spoon",1,1,1,4,1,2,1,1,1,7,1,2
8/27/2024,S26MA,25,9/8/2018,5.97260274,5,F,Gaby,4,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Stick,photo,Book,Bowl,Box,Remote,obj,Ball,Mirror,Sweater,Pencil,2,2,Mother,5,5,Mother,F,8,"60% Swahili, 20% Luo, 20% English",Father,M,4,"80% Swahili, 20% Luo",,,,,,,,,3,4,4,3,3,"chalk, charcoal, fingers",1,5,1,20,1,7,1,1,1,8,1,3
8/27/2024,S27SA,26,12/25/2018,5.676712329,5,F,Gaby,4,bw,Comb,Shoe,String,Fork,cartoon,Cup,Shirt,Scissors,Button,photo,Book,Bowl,Box,Remote,obj,Ball,Toothbrush,Sweater,Pencil,3,3,Mother,1,1,Mother,F,4,"80% Swahili, 20% Luo",,,,,,,,,,,,,2,5,4,3,1,none,1,2,1,3,1,1,0,0,0,0,1,2
8/27/2024,S28MJ,27,2/16/2019,5.531506849,5,F,Gaby,4,bw,Comb,Shoe,Chalk,Straw,cartoon,Cup,Shirt,Scissors,Shovel,photo,Book,Bowl,Box,Remote,obj,Ball,Mirror,Sweater,Pencil,2,3,Mother,1,1,Mother,F,5,100% Swahili,Father,M,2,100% Swahili,,,,,,,,,3,3,4,3,1,none,1,2,1,6,1,3,0,0,1,3,1,3
8/27/2024,S29AA,28,1/7/2019,5.64109589,5,F,Gaby,4,bw,Comb,Shoe,String,Spoon,cartoon,Cup,Shirt,Scissors,Shovel,photo,Book,Plate,Box,Clock,obj,Ball,Toothbrush,Sweater,Pencil,6,2,Grandmother,3,1,Grandmother,F,6,"80% Swahili, 20% Luo",Aunt,F,8,"90% Swahili, 10% Luo",,,,,,,,,4,4,4,5,1,none,1,6,1,12,1,4,1,1,1,4,1,2
8/27/2024,S30AO,29,8/30/2020,3.994520548,3,F,Gaby,4,bw,Comb,Shoe,Handkerchief,Necklace,cartoon,Cup,Shirt,Scissors,Shovel,photo,Book,Plate,Basket,Clock,obj,Ball,Mirror,Sweater,Pencil,2,2,Father,5,6,Father,M,3,"60% Swahili, 30% Luo, 10% English",Mother,F,4,"50% Swahili, 40% Luo, 10% English",,,,,,,,,3,4,4,4,1,none,1,4,1,6,1,2,1,1,1,15,1,3
8/27/2024,S31WW,30,1/22/2019,5.6,5,M,Gaby,4,bw,Watch,Shoe,Handkerchief,Necklace,cartoon,Cup,Shirt,Scissors,Button,photo,Book,Plate,Box,Clock,obj,Ball,Mirror,Sweater,Pencil,2,7,Mother,1,1,Mother,F,2,"90% Swahili, 10% Luo",Aunt,F,2,100% Swahili,,,,,,,,,3,2,5,5,1,none,1,2,1,2,1,1,1,1,0,0,1,1
8/27/2024,S32ES,31,1/25/2019,5.591780822,5,M,Gaby,4,bw,Comb,Shoe,Crayon,Fork,cartoon,Cup,Shirt,Scissors,Button,photo,Book,Bowl,Basket,Clock,obj,Ball,Toothbrush,Sweater,Pencil,3,3,Mother,5,5,Mother,F,12,"70% Swahili, 25% English, 5% Luo",Father,M,12,"80% English, 20% Swahili",Nanny,F,12,"80% Swahili, 20% Luo",,,,,5,5,4,5,2,stick,1,1,1,2,1,2,1,1,0,0,1,2
8/27/2024,S33JA,32,7/18/2019,5.115068493,5,F,Gaby,4,bw,Comb,Shoe,String,Necklace,cartoon,Cup,Shirt,Scissors,Shovel,photo,Book,Bowl,Box,Clock,obj,Ball,Mirror,Sweater,Pencil,3,4,Mother,1,1,Father,M,2,"90% Swahili, 10% Luo",Mother,F,5,"90% Swahili, 10% Luo",Uncle,M,2,"90% Swahili, 10% Luo",,,,,4,4,4,4,4,nails,1,5,1,12,1,3,1,1,1,3,1,3
8/27/2024,S34CS,33,12/23/2019,4.682191781,4,M,Gaby,5,obj,Watch,Shoe,Crayon,Fork,bw,Bottle,Shirt,Scissors,Shovel,cartoon,Book,Pants,Key,Dress,photo,Ball,Bead,Skirt,Pencil,2,4,Mother,5,5,Father,M,3,"70% Swahili, 20% English, 10% Luo",Mother,F,6,"70% Swahili, 20% English, 10% Luo",,,,,,,,,2,4,4,5,2,stick,1,1,1,8,0,0,1,1,1,2,1,1
8/27/2024,S35GK,34,5/31/2019,5.246575342,5,M,Gaby,5,obj,Comb,Shoe,Chalk,Necklace,bw,Cup,Shirt,Scissors,Shovel,cartoon,Book,Bowl,Box,Clock,photo,Ball,Toothbrush,Sweater,Pencil,3,2,Mother,1,1,Mother,F,3,"80% Swahili, 20% Luo",Father,M,2,"80% Swahili, 20% Luo",,,,,,,,,3,4,5,4,1,none,1,5,1,12,1,2,1,1,0,0,1,5
8/28/2024,S36BS,35,9/4/2020,3.983561644,3,M,Gaby,5,obj,Comb,Shoe,Crayon,Fork,bw,Cup,Shirt,Scissors,Stick,cartoon,Book,Plate,Basket,Remote,photo,Ball,Mirror,Sweater,Pencil,2,4,Mother,1,1,Mother,F,6,"92% Swahili, 8% Luo",Father,M,3,"92% Swahili, 8% Luo",,,,,,,,,4,3,2,2,2,"stick, charcoal",1,5,1,5,1,2,1,1,1,2,1,1
8/28/2024,S37CB,36,11/20/2019,4.775342466,4,F,Gaby,5,obj,Comb,Shoe,Chalk,Fork,bw,Bottle,Shirt,Scissors,Stick,cartoon,Book,Bowl,Box,Remote,photo,Ball,Toothpaste,Sweater,Pencil,2,4,Mother,1,1,Mother,F,4,100% Swahili,Father,M,1,100% Swahili,,,,,,,,,5,4,4,5,2,"charcoal, chalk",1,3,1,3,1,3,1,1,1,30,1,2
8/28/2024,S39DMO,37,5/19/2020,4.279452055,4,M,Gaby,5,obj,Comb,Shoe,Chalk,Fork,bw,Cup,Shirt,Scissors,Shovel,cartoon,Book,Bowl,Box,Clock,photo,Ball,Mirror,Sweater,Pencil,1,4,Mother,4,4,Mother,F,7,"80% Swahili, 20% Luo",Grandmother,F,5,"60% Swahili, 40% Luo",Grandfather,M,5,"60% Swahili, 40% Luo",,,,,4,2,4,4,1,none,1,3,1,3,1,2,0,0,1,4,1,2
8/28/2024,S40MK,38,6/14/2020,4.208219178,4,F,Gaby,5,obj,Comb,Shoe,Chalk,Necklace,bw,Cup,Shirt,Scissors,Stick,cartoon,Book,Bowl,Box,Remote,photo,Ball,Mirror,Sweater,Pencil,3,3,Mother,1,1,Mother,F,3,"80% Swahili, 20% Luo",Father,M,5,100% Swahili,,,,,,,,,5,4,5,4,1,none,1,8,1,16,1,4,1,2,1,4,1,2
8/28/2024,S41SA,39,5/25/2020,4.263013699,4,F,Gaby,5,obj,Comb,Shoe,Chalk,Necklace,bw,Cup,Shirt,Scissors,Shovel,cartoon,Book,Bowl,Basket,Clock,photo,Ball,Mirror,Sweater,Pencil,3,3,Mother,3,3,Mother,F,6,"80% Swahili, 20% Luo",Father,M,1,"80% Swahili, 20% Luo",,,,,,,,,4,2,5,4,1,none,1,3,1,13,1,1,1,1,1,1,1,2
8/28/2024,S42TS,40,11/16/2019,4.78630137,4,F,Gaby,5,obj,Comb,Shoe,Chalk,Fork,bw,Cup,Shirt,Scissors,Stick,cartoon,Book,Bowl,Basket,Remote,photo,Ball,Mirror,Sweater,Pencil,3,4,Uncle,3,3,Mother,F,4,"60% Swahili, 40% Luo",Grandmother,F,6,"70% Luo, 30% Swahili",,,,,,,,,4,4,3,2,3,"stick, charcoal, fingers",1,3,1,2,1,2,1,1,1,1,1,3
8/28/2024,S38TM,41,9/6/2020,3.978082192,3,M,Joab,6,obj,Watch,Shoe,Chalk,Necklace,bw,Cup,Shirt,Knife,Stone,cartoon,Book,Bowl,Key,Remote,photo,Ball,Mirror,Sweater,Pencil,2,2,Mother,5,5,Mother,F,5,100% Swahili,Father,M,2,100% Swahili,Grandmother,F,8,100% Swahili,,,,,5,5,5,4,1,none,1,2,1,6,1,5,1,1,1,3,1,1
8/28/2024,S43DB,42,4/8/2020,4.391780822,4,M,Joab,6,obj,Watch,Shoe,Handkerchief,Necklace,bw,Cup,Shirt,Scissors,Shovel,cartoon,Paper,Plate,Box,Clock,photo,Ball,Bead,Sweater,Pencil,2,2,Mother,3,3,Mother,F,4,"80% Swahili, 20% Luo",Father,M,3,"80% Swahili, 20% Luo",,,,,,,,,2,5,5,5,1,none,1,2,1,12,1,1,1,1,1,5,1,1
8/28/2024,S44SA,43,4/8/2020,4.391780822,4,M,Joab,6,obj,Watch,Shoe,Chalk,Necklace,bw,Cup,Shirt,Knife,Shovel,cartoon,Book,Scarf,Key,Shorts,photo,Ball,Toothpaste,Sweater,Pencil,4,3,Aunt,3,3,Mother,F,2,"80% Swahili, 20% Luo",Aunt,F,8,"50% Swahili, 50% Luo",Father,M,2,"80% Swahili, 20% Luo",,,,,5,5,5,2,1,none,1,3,1,4,1,2,1,1,1,2,1,2
8/28/2024,S45HG,44,10/29/2019,4.835616438,4,M,Joab,6,obj,Comb,Shoe,String,Spoon,bw,Cup,Shirt,Scissors,Shovel,cartoon,Book,Bowl,Basket,Remote,photo,Ball,Mirror,Sweater,Pencil,4,2,Mother,1,1,Mother,F,5,"80% Swahili, 20% Luo",Father,M,3,"90% Swahili, 10% Luo",Sister,F,8,"90% Swahili, 10% Luo",,,,,3,3,3,4,2,"stick, charcoal",1,2,1,12,1,2,1,1,1,3,1,1
8/28/2024,S46SA,45,8/13/2020,4.043835616,4,M,Joab,6,obj,Comb,Shoe,Crayon,Spoon,bw,Bottle,Shirt,Scissors,Shovel,cartoon,Book,Bowl,Basket,Remote,photo,Ball,Bead,Sweater,Pencil,3,4,Mother,3,3,Mother,F,9,100% Swahili,Aunt,F,9,100% Swahili,Father,M,4,100% Swahili,,,,,4,4,4,2,4,toy laptop,1,1,1,3,1,2,1,1,1,6,0,0
8/28/2024,S47PJ,46,11/12/2019,4.797260274,4,F,Joab,6,obj,Comb,Shoe,Handkerchief,Necklace,bw,Cup,Shirt,Scissors,Shovel,cartoon,Book,Bowl,Box,Clock,photo,Ball,Mirror,Sweater,Pencil,2,3,Mother,1,1,Mother,F,3,"80% Swahili, 20% Luo",Father,M,1,"80% Swahili, 20% Luo",,,,,,,,,4,5,5,5,2,"chalk, charcoal, bricks, dry paint",1,4,1,8,0,0,1,1,1,10,1,3
8/28/2024,S48KM,47,7/4/2020,4.153424658,4,M,Joab,6,obj,Bracelet,Shoe,Handkerchief,Necklace,bw,Cup,Shirt,Knife,Shovel,cartoon,Paper,Bowl,Box,Shorts,photo,Ball,Toothbrush,Toilet Paper,Pencil,4,3,Mother,1,1,Mother,F,5,"80% Swahili, 20% Luo",Father,M,2,"75% Swahili, 25% Luo",Sister,F,4,"60% Swahili, 25% Luo, 15% English",,,,,2,2,5,2,3,"stick, charcoal, chalk",1,1,1,2,1,1,1,1,1,3,1,1
8/28/2024,S49PK,48,3/16/2020,4.454794521,4,F,Joab,6,obj,Comb,Shoe,Crayon,Necklace,bw,Cup,Shirt,Scissors,Shovel,cartoon,Paper,Bowl,Basket,Remote,photo,Ball,Mirror,Sweater,Pencil,3,5,Grandmother,1,5,Grandmother,F,4,100% Swahili,Mother,F,5,"75% Swahili, 25% Luo",Aunt,F,4,100% Swahili,,,,,3,4,5,4,1,none,1,4,1,28,1,3,0,0,1,16,1,1
8/28/2024,S50FG,49,1/19/2020,4.610958904,4,M,Joab,7,obj,Comb,Shoe,String,Necklace,bw,Cup,Shirt,Scissors,Shovel,cartoon,Paper,Plate,Basket,Remote,photo,Ball,Bead,Sweater,Pencil,3,8,Mother,1,1,Mother,F,4,"75% Swahili, 25% Luo",Sister,F,4,100% Swahili,,,,,,,,,4,4,5,4,1,none,1,4,1,16,1,3,0,0,1,16,1,1
8/28/2024,S51KN,50,8/20/2020,4.024657534,4,M,Joab,7,obj,Comb,Shoe,Chalk,Spoon,bw,Cup,Shirt,Scissors,Shovel,cartoon,Book,Plate,Box,Clock,photo,Ball,Bead,Sweater,Pencil,6,1,Mother,5,5,Mother,F,6,"80% Swahili, 20% Luo",Aunt,F,3,100% Swahili,Uncle,M,3,100% Swahili,,,,,4,4,4,3,3,"stick, charcoal, chalk",0,0,1,10,1,4,1,1,1,2,1,1
8/28/2024,S52LM,51,9/1/2019,4.994520548,4,M,Joab,7,obj,Comb,Shoe,Crayon,Fork,bw,Cup,Shirt,Scissors,Button,cartoon,Paper,Bowl,Basket,Clock,photo,Ball,Toothpaste,Sweater,Pencil,2,5,Mother,3,3,Mother,F,4,"80% English, 20% Swahili",Father,M,4,"80% English, 20% Swahili",Uncle,M,4,"60% Swahili, 40% English",,,,,4,5,5,4,1,none,1,8,1,13,1,7,1,3,1,20,1,3
8/28/2024,S53RD,52,3/21/2020,4.44109589,4,F,Joab,7,obj,Comb,Shoe,Chalk,Necklace,bw,Cup,Shirt,Scissors,Stick,cartoon,Book,Bowl,Key,Remote,photo,Ball,Mirror,Sweater,Pencil,3,2,Mother,5,5,Mother,F,4,"70% Swahili, 20% English, 10% Luo",Father,M,2,"70% Swahili, 20% English, 10% Luo",,,,,,,,,4,2,4,4,2,"stick, charcoal, chalk",1,5,1,20,1,4,1,1,1,6,1,2
8/28/2024,S54IM,53,5/15/2020,4.290410959,4,M,Joab,7,obj,Comb,Shoe,Crayon,Spoon,bw,Cup,Shirt,Scissors,Stick,cartoon,Paper,Pants,Box,Shorts,photo,Ball,Toothpaste,Sweater,Pencil,4,1,Uncle,3,3,Mother,F,6,"70% Swahili, 30% Luo",Aunt,F,3,100% Swahili,Uncle,M,4,100% Swahili,,,,,5,5,3,3,2,"stick, charcoal",1,2,1,2,0,0,1,1,0,0,1,1
8/29/2024,S55MBO,54,12/28/2016,7.673972603,7,M,Joab,7,obj,Comb,Shoe,Chalk,Necklace,bw,Cup,Shirt,Scissors,Button,cartoon,Book,Bowl,Box,Remote,photo,Ball,Mirror,Sweater,Pencil,2,2,Mother,5,5,Mother,F,4,"80% Swahili, 20% English",Aunt,F,2,"70% Swahili, 30% Luo",Father,M,2,"90% Swahili, 10% Luo",,,,,4,4,3,3,2,"stick, bottle cap",1,2,1,10,1,2,1,1,1,5,1,7
8/29/2024,S56MA,55,9/26/2016,7.928767123,7,F,Joab,7,obj,Comb,Shoe,Chalk,Necklace,bw,Cup,Shirt,Scissors,Shovel,cartoon,Book,Bowl,Box,Clock,photo,Ball,Toothbrush,Sweater,Pencil,6,10,Mother,3,3,Mother,F,4,"90% Swahili, 10% Luo",Aunt,F,6,100% Swahili,,,,,,,,,1,1,4,2,2,none,0,0,1,1,0,0,1,1,0,0,1,5
