,accuracy,condition,child,target_word,age,Unnamed: 0,Target,Near Distractor,Random 1,Random 2,aoa,response,response_type
46,0,obj,47,comb,4.153424658,0,comb,brush,watch,bracelet,22.44276300486351,bracelet,Random
47,1,obj,48,comb,4.454794521,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
48,1,obj,49,comb,4.610958904,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
49,1,obj,50,comb,4.024657534,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
50,1,obj,51,comb,4.994520548,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
51,1,obj,52,comb,4.44109589,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
52,1,obj,53,comb,4.290410959,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
53,1,obj,54,comb,7.673972603,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
54,1,obj,55,comb,7.928767123,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
55,1,obj,56,comb,7.98,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
56,1,obj,57,comb,7.926027397,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
57,1,obj,58,comb,7.99,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
58,1,obj,59,comb,6.101369863,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
59,1,obj,60,comb,6.430136986,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
60,1,obj,61,comb,6.575342466,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
61,1,obj,62,comb,5.871232877,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
62,1,obj,63,comb,7.717808219,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
63,1,obj,64,comb,7.728767123,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
64,1,photo,65,comb,7.873972603,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
65,1,photo,66,comb,7.350684932,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
66,1,photo,67,comb,6.928767123,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
67,1,photo,68,comb,7.504109589,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
68,1,photo,69,comb,7.479452055,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
69,1,photo,70,comb,7.164383562,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
70,1,photo,71,comb,5.287671233,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
71,1,photo,72,comb,7.301369863,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
72,1,photo,73,comb,7.128767123,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
73,1,photo,74,comb,7.194520548,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
74,1,photo,75,comb,7.476712329,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
75,1,photo,76,comb,6.873972603,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
76,1,photo,77,comb,7.531506849,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
77,1,photo,78,comb,7.115068493,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
78,1,photo,79,comb,3.846575342,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
79,1,photo,80,comb,4.057534247,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
80,1,photo,81,comb,3.6,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
81,1,photo,82,comb,6.602739726,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
82,1,photo,83,comb,5.249315068,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
83,1,photo,84,comb,3.01369863,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
84,1,photo,85,comb,3.246575342,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
85,0,photo,86,comb,3.326027397,0,comb,brush,watch,bracelet,22.44276300486351,bracelet,Random
86,0,photo,87,comb,3.265753425,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
87,1,photo,88,comb,3.871232877,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
88,0,photo,89,comb,3.150684932,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
89,1,photo,90,comb,3.063013699,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
90,1,photo,91,comb,3.495890411,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
91,0,photo,92,comb,3.142465753,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
92,0,photo,93,comb,3.77260274,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
93,1,photo,94,comb,3.443835616,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
94,1,photo,95,comb,3.547945205,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
95,0,photo,96,comb,4.82739726,0,comb,brush,watch,bracelet,22.44276300486351,brush,Near Distractor
96,1,cartoon,97,comb,4.517808219,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
97,1,cartoon,98,comb,3.901369863,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
98,1,cartoon,99,comb,4.783561644,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
99,1,cartoon,100,comb,4.950684932,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
100,1,cartoon,101,comb,3.134246575,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
101,1,bw,1,shoe,6.854794521,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
102,1,bw,2,shoe,6.82739726,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
103,1,bw,3,shoe,7.150684932,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
104,0,bw,4,shoe,6.852054795,1,shoe,sock,medicine,telephone,23.43778889088626,sock,Near Distractor
105,1,bw,5,shoe,7.24109589,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
106,1,bw,6,shoe,4.235616438,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
107,1,bw,7,shoe,3.117808219,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
108,1,bw,8,shoe,5.854794521,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
109,1,bw,9,shoe,4.268493151,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
110,1,bw,10,shoe,5.106849315,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
111,1,bw,11,shoe,5.109589041,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
112,1,bw,12,shoe,5.276712329,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
113,1,bw,13,shoe,5.630136986,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
114,1,bw,14,shoe,5.178082192,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
115,1,bw,15,shoe,5.969863014,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
116,1,bw,16,shoe,5.452054795,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
117,1,bw,17,shoe,5.252054795,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
118,1,bw,18,shoe,5.21369863,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
119,1,bw,19,shoe,5.778082192,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
120,1,bw,20,shoe,5.117808219,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
121,1,bw,21,shoe,5.361643836,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
122,1,bw,22,shoe,5.287671233,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
123,1,bw,23,shoe,5.060273973,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
124,1,bw,24,shoe,5.657534247,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
125,1,bw,25,shoe,5.97260274,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
126,1,bw,26,shoe,5.676712329,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
127,1,bw,27,shoe,5.531506849,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
128,1,bw,28,shoe,5.64109589,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
129,1,bw,29,shoe,3.994520548,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
130,1,bw,30,shoe,5.6,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
131,1,bw,31,shoe,5.591780822,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
132,1,bw,32,shoe,5.115068493,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
133,1,obj,33,shoe,4.682191781,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
134,1,obj,34,shoe,5.246575342,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
135,1,obj,35,shoe,3.983561644,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
136,1,obj,36,shoe,4.775342466,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
137,1,obj,37,shoe,4.279452055,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
138,1,obj,38,shoe,4.208219178,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
139,1,obj,39,shoe,4.263013699,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
140,1,obj,40,shoe,4.78630137,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
141,1,obj,41,shoe,3.978082192,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
142,1,obj,42,shoe,4.391780822,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
143,1,obj,43,shoe,4.391780822,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
144,1,obj,44,shoe,4.835616438,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
145,1,obj,45,shoe,4.043835616,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
146,1,obj,46,shoe,4.797260274,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
147,1,obj,47,shoe,4.153424658,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
148,1,obj,48,shoe,4.454794521,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
149,1,obj,49,shoe,4.610958904,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
150,1,obj,50,shoe,4.024657534,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
151,1,obj,51,shoe,4.994520548,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
152,1,obj,52,shoe,4.44109589,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
153,1,obj,53,shoe,4.290410959,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
154,1,obj,54,shoe,7.673972603,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
155,1,obj,55,shoe,7.928767123,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
156,1,obj,56,shoe,7.98,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
157,1,obj,57,shoe,7.926027397,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
158,1,obj,58,shoe,7.99,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
159,1,obj,59,shoe,6.101369863,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
160,1,obj,60,shoe,6.430136986,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
161,1,obj,61,shoe,6.575342466,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
162,1,obj,62,shoe,5.871232877,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
163,1,obj,63,shoe,7.717808219,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
164,1,obj,64,shoe,7.728767123,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
165,0,photo,65,shoe,7.873972603,1,shoe,sock,medicine,telephone,23.43778889088626,sock,Near Distractor
166,1,photo,66,shoe,7.350684932,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
167,1,photo,67,shoe,6.928767123,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
168,1,photo,68,shoe,7.504109589,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
169,1,photo,69,shoe,7.479452055,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
170,1,photo,70,shoe,7.164383562,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
171,1,photo,71,shoe,5.287671233,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
172,1,photo,72,shoe,7.301369863,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
173,1,photo,73,shoe,7.128767123,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
174,1,photo,74,shoe,7.194520548,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
175,1,photo,75,shoe,7.476712329,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
176,1,photo,76,shoe,6.873972603,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
177,1,photo,77,shoe,7.531506849,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
178,1,photo,78,shoe,7.115068493,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
179,1,photo,79,shoe,3.846575342,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
180,1,photo,80,shoe,4.057534247,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
181,0,photo,81,shoe,3.6,1,shoe,sock,medicine,telephone,23.43778889088626,sock,Near Distractor
182,1,photo,82,shoe,6.602739726,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
183,1,photo,83,shoe,5.249315068,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
184,0,photo,84,shoe,3.01369863,1,shoe,sock,medicine,telephone,23.43778889088626,sock,Near Distractor
185,1,photo,85,shoe,3.246575342,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
186,0,photo,86,shoe,3.326027397,1,shoe,sock,medicine,telephone,23.43778889088626,sock,Near Distractor
187,1,photo,87,shoe,3.265753425,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
188,1,photo,88,shoe,3.871232877,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
189,1,photo,89,shoe,3.150684932,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
190,1,photo,90,shoe,3.063013699,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
191,1,photo,91,shoe,3.495890411,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
192,1,photo,92,shoe,3.142465753,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
193,1,photo,93,shoe,3.77260274,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
194,1,photo,94,shoe,3.443835616,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
195,1,photo,95,shoe,3.547945205,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
196,1,photo,96,shoe,4.82739726,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
197,1,cartoon,97,shoe,4.517808219,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
198,1,cartoon,98,shoe,3.901369863,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
199,1,cartoon,99,shoe,4.783561644,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
200,1,cartoon,100,shoe,4.950684932,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
201,1,cartoon,101,shoe,3.134246575,1,shoe,sock,medicine,telephone,23.43778889088626,shoe,Target
202,1,bw,1,chalk,6.854794521,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
203,1,bw,2,chalk,6.82739726,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
204,1,bw,3,chalk,7.150684932,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
205,1,bw,4,chalk,6.852054795,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
206,1,bw,5,chalk,7.24109589,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
207,0,bw,6,chalk,4.235616438,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
208,0,bw,7,chalk,3.117808219,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
209,0,bw,8,chalk,5.854794521,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
210,0,bw,9,chalk,4.268493151,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
211,0,bw,10,chalk,5.106849315,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
212,1,bw,11,chalk,5.109589041,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
213,0,bw,12,chalk,5.276712329,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
214,0,bw,13,chalk,5.630136986,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
215,0,bw,14,chalk,5.178082192,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
216,0,bw,15,chalk,5.969863014,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
217,0,bw,16,chalk,5.452054795,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
218,0,bw,17,chalk,5.252054795,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
219,0,bw,18,chalk,5.21369863,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
220,0,bw,19,chalk,5.778082192,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
221,0,bw,20,chalk,5.117808219,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
222,0,bw,21,chalk,5.361643836,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
223,0,bw,22,chalk,5.287671233,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
224,0,bw,23,chalk,5.060273973,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
225,0,bw,24,chalk,5.657534247,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
226,0,bw,25,chalk,5.97260274,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
227,0,bw,26,chalk,5.676712329,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
228,1,bw,27,chalk,5.531506849,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
229,0,bw,28,chalk,5.64109589,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
230,0,bw,29,chalk,3.994520548,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
231,0,bw,30,chalk,5.6,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
232,0,bw,31,chalk,5.591780822,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
233,0,bw,32,chalk,5.115068493,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
234,0,obj,33,chalk,4.682191781,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
235,1,obj,34,chalk,5.246575342,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
236,0,obj,35,chalk,3.983561644,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
237,1,obj,36,chalk,4.775342466,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
238,1,obj,37,chalk,4.279452055,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
239,1,obj,38,chalk,4.208219178,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
240,1,obj,39,chalk,4.263013699,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
241,1,obj,40,chalk,4.78630137,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
242,1,obj,41,chalk,3.978082192,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
243,0,obj,42,chalk,4.391780822,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
244,1,obj,43,chalk,4.391780822,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
245,0,obj,44,chalk,4.835616438,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
246,0,obj,45,chalk,4.043835616,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
247,0,obj,46,chalk,4.797260274,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
248,0,obj,47,chalk,4.153424658,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
249,0,obj,48,chalk,4.454794521,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
250,0,obj,49,chalk,4.610958904,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
251,1,obj,50,chalk,4.024657534,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
252,0,obj,51,chalk,4.994520548,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
253,1,obj,52,chalk,4.44109589,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
254,0,obj,53,chalk,4.290410959,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
255,1,obj,54,chalk,7.673972603,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
256,1,obj,55,chalk,7.928767123,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
257,0,obj,56,chalk,7.98,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
258,1,obj,57,chalk,7.926027397,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
259,1,obj,58,chalk,7.99,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
260,0,obj,59,chalk,6.101369863,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
261,1,obj,60,chalk,6.430136986,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
262,1,obj,61,chalk,6.575342466,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
263,1,obj,62,chalk,5.871232877,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
264,1,obj,63,chalk,7.717808219,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
265,0,obj,64,chalk,7.728767123,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
266,1,photo,65,chalk,7.873972603,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
267,0,photo,66,chalk,7.350684932,2,chalk,crayon,string,handkerchief,28.00434298542545,string,Random
268,0,photo,67,chalk,6.928767123,2,chalk,crayon,string,handkerchief,28.00434298542545,crayon,Near Distractor
269,1,photo,68,chalk,7.504109589,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
270,1,photo,69,chalk,7.479452055,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
271,1,photo,70,chalk,7.164383562,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
272,1,photo,71,chalk,5.287671233,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
273,1,photo,72,chalk,7.301369863,2,chalk,crayon,string,handkerchief,28.00434298542545,chalk,Target
274,0,photo,73,chalk,7.128767123,2,chalk,crayon,string,handkerchief,28.00434298542545,handkerchief,Random
