,child,condition,age,target_word,accuracy,response_type,is_near_distractor,is_random
5,6,bw,4.235616438,comb,0,Random,0,1
6,7,bw,3.117808219,comb,0,Random,0,1
29,30,bw,5.6,comb,0,Random,0,1
32,33,obj,4.682191781,comb,0,Random,0,1
40,41,obj,3.978082192,comb,0,Random,0,1
41,42,obj,4.391780822,comb,0,Random,0,1
42,43,obj,4.391780822,comb,0,Random,0,1
46,47,obj,4.153424658,comb,0,Random,0,1
85,86,photo,3.326027397,comb,0,Random,0,1
86,87,photo,3.265753425,comb,0,Random,0,1
88,89,photo,3.150684932,comb,0,Random,0,1
91,92,photo,3.142465753,comb,0,Random,0,1
92,93,photo,3.77260274,comb,0,Random,0,1
95,96,photo,4.82739726,comb,0,Near Distractor,1,0
104,4,bw,6.852054795,shoe,0,Near Distractor,1,0
165,65,photo,7.873972603,shoe,0,Near Distractor,1,0
181,81,photo,3.6,shoe,0,Near Distractor,1,0
184,84,photo,3.01369863,shoe,0,Near Distractor,1,0
186,86,photo,3.326027397,shoe,0,Near Distractor,1,0
207,6,bw,4.235616438,chalk,0,Random,0,1
208,7,bw,3.117808219,chalk,0,Random,0,1
209,8,bw,5.854794521,chalk,0,Near Distractor,1,0
210,9,bw,4.268493151,chalk,0,Random,0,1
211,10,bw,5.106849315,chalk,0,Random,0,1
213,12,bw,5.276712329,chalk,0,Random,0,1
214,13,bw,5.630136986,chalk,0,Near Distractor,1,0
215,14,bw,5.178082192,chalk,0,Random,0,1
216,15,bw,5.969863014,chalk,0,Random,0,1
217,16,bw,5.452054795,chalk,0,Random,0,1
218,17,bw,5.252054795,chalk,0,Near Distractor,1,0
219,18,bw,5.21369863,chalk,0,Near Distractor,1,0
220,19,bw,5.778082192,chalk,0,Random,0,1
221,20,bw,5.117808219,chalk,0,Random,0,1
222,21,bw,5.361643836,chalk,0,Near Distractor,1,0
223,22,bw,5.287671233,chalk,0,Random,0,1
224,23,bw,5.060273973,chalk,0,Random,0,1
225,24,bw,5.657534247,chalk,0,Random,0,1
226,25,bw,5.97260274,chalk,0,Random,0,1
227,26,bw,5.676712329,chalk,0,Random,0,1
229,28,bw,5.64109589,chalk,0,Random,0,1
230,29,bw,3.994520548,chalk,0,Random,0,1
231,30,bw,5.6,chalk,0,Random,0,1
232,31,bw,5.591780822,chalk,0,Near Distractor,1,0
233,32,bw,5.115068493,chalk,0,Random,0,1
234,33,obj,4.682191781,chalk,0,Near Distractor,1,0
236,35,obj,3.983561644,chalk,0,Near Distractor,1,0
243,42,obj,4.391780822,chalk,0,Random,0,1
245,44,obj,4.835616438,chalk,0,Random,0,1
246,45,obj,4.043835616,chalk,0,Near Distractor,1,0
247,46,obj,4.797260274,chalk,0,Random,0,1
248,47,obj,4.153424658,chalk,0,Random,0,1
249,48,obj,4.454794521,chalk,0,Near Distractor,1,0
250,49,obj,4.610958904,chalk,0,Random,0,1
252,51,obj,4.994520548,chalk,0,Near Distractor,1,0
254,53,obj,4.290410959,chalk,0,Near Distractor,1,0
257,56,obj,7.98,chalk,0,Near Distractor,1,0
260,59,obj,6.101369863,chalk,0,Random,0,1
265,64,obj,7.728767123,chalk,0,Random,0,1
267,66,photo,7.350684932,chalk,0,Random,0,1
